Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
Chamarande,91730,Essonne,48.5232625,2.2235803,45.3,2 hours 40 mins,160,1 hour 26 mins,86,45.3,1.8984547461368655,39 mins,39,45.3,1 hour 53 mins,113,45.3,0.8609271523178809,47.0,-27.0
Champcueil,91750,Essonne,48.5150561,2.4449775,48.0,2 hours 37 mins,157,nan,,53.6,,42 mins,42,53.6,2 hours 11 mins,131,53.6,0.7835820895522387,,
Champlan,91160,Essonne,48.7081313,2.2774045,21.6,1 hour 15 mins,75,1 hour 0 mins,60,24.7,2.4291497975708505,23 mins,23,24.7,1 hour 14 mins,74,24.7,0.9311740890688259,37.0,-14.0
Champmotteux,91150,Essonne,48.3425768,2.3210197,73.6,3 hours 54 mins,234,nan,,77.1,,57 mins,57,77.1,2 hours 19 mins,139,77.1,0.7392996108949417,,
Chatignonville,91410,Essonne,48.46855129999999,1.9302267,64.2,3 hours 42 mins,222,nan,,71.6,,49 mins,49,71.6,1 hour 54 mins,114,71.6,0.6843575418994414,,
Chauffour-lès-Étréchy,91580,Essonne,48.50352969999999,2.1687073,49.7,2 hours 50 mins,170,nan,,49.8,,43 mins,43,49.8,1 hour 56 mins,116,49.8,0.8634538152610443,,
Cheptainville,91630,Essonne,48.547205,2.2760121,40.9,2 hours 24 mins,144,nan,,42.8,,37 mins,37,42.8,1 hour 55 mins,115,42.8,0.8644859813084113,,
Chevannes,91750,Essonne,48.5338706,2.4391601,45.3,2 hours 28 mins,148,nan,,50.9,,39 mins,39,50.9,2 hours 8 mins,128,50.9,0.7662082514734774,,
Chilly-Mazarin,91380,Essonne,48.7084594,2.3126333,21.1,1 hour 14 mins,74,53 mins,53,22.5,2.3555555555555556,23 mins,23,22.5,1 hour 14 mins,74,22.5,1.0222222222222221,30.0,-21.0
Congerville-Thionville,91740,Essonne,48.3880743,1.9846068,70.5,3 hours 57 mins,237,nan,,79.6,,54 mins,54,79.6,1 hour 59 mins,119,79.6,0.678391959798995,,
Corbeil-Essonnes,91100,Essonne,48.6101938,2.4746991,35.1,1 hour 56 mins,116,58 mins,58,41.5,1.3975903614457832,34 mins,34,41.5,2 hours 0 mins,120,41.5,0.8192771084337349,24.0,-62.0
Corbreuse,91410,Essonne,48.4959881,1.9601649,60.4,3 hours 31 mins,211,nan,,61.7,,47 mins,47,61.7,1 hour 55 mins,115,61.7,0.7617504051863857,,
Courances,91490,Essonne,48.4404024,2.4751294,55.1,2 hours 58 mins,178,nan,,59.3,,41 mins,41,59.3,2 hours 10 mins,130,59.3,0.6913996627318719,,
Courdimanche-sur-Essonne,91720,Essonne,48.4170028,2.3785488,62.3,3 hours 24 mins,204,nan,,70.8,,51 mins,51,70.8,2 hours 18 mins,138,70.8,0.7203389830508475,,
Courson-Monteloup,91680,Essonne,48.5966165,2.1450851,41.0,2 hours 22 mins,142,nan,,43.7,,41 mins,41,43.7,1 hour 59 mins,119,43.7,0.9382151029748284,,
Crosne,91560,Essonne,48.7204084,2.4650064,21.6,1 hour 11 mins,71,52 mins,52,23.2,2.241379310344828,26 mins,26,23.2,1 hour 23 mins,83,23.2,1.120689655172414,26.0,-31.0
